object_id,title,object_name,culture,period,date_begin,date_end,country,region,city,geography,medium,classification,description,tags,image_url,image_small_url,object_url,is_public_domain,source,search_keywords,department,dynasty,reign,credit_line,cultural_context_reason,cultural_context,text_for_embedding,mid_year,visual_x,visual_y,semantic_x,semantic_y
38634,Crowned  Bodhisattva,Bust,"North India (Uttar Pradesh, Mathura)",late Kushan dynasty,200,323,,,,,Sandstone,Sculpture,"Purchase, The Fred Eychaner Charitable Fund Gift, in honor of John Guy, 2016",Kushan; Mathura; Buddhism; Bodhisattvas,https://images.metmuseum.org/CRDImages/as/original/DP701395.jpg,https://images.metmuseum.org/CRDImages/as/web-large/DP701395.jpg,https://www.metmuseum.org/art/collection/search/38634,True,The Metropolitan Museum of Art Collection API,Buddha; Buddhist; Bodhisattva; India,Asian Art,,,"Purchase, The Fred Eychaner Charitable Fund Gift, in honor of John Guy, 2016",insufficient or ambiguous contextual evidence,Other,"Title: Crowned  Bodhisattva Object type: Bust Culture: North India (Uttar Pradesh, Mathura) Period: late Kushan dynasty Medium: Sandstone Classification: Sculpture Tags: Kushan; Mathura; Buddhism; Bodhisattvas",261.5,0.32112542,0.13750271,0.22580008,0.025537178
38777,Head of Buddha,Head,Pakistan (ancient region of Gandhara),,250,450,,,,,Stucco with traces of paint,Sculpture,"Rogers Fund, 1913",Gandhara; Heads; Buddhism; Buddha,https://images.metmuseum.org/CRDImages/as/original/DP123377.jpg,https://images.metmuseum.org/CRDImages/as/web-large/DP123377.jpg,https://www.metmuseum.org/art/collection/search/38777,True,The Metropolitan Museum of Art Collection API,Buddha,Asian Art,,,"Rogers Fund, 1913",insufficient or ambiguous contextual evidence,Other,Title: Head of Buddha Object type: Head Culture: Pakistan (ancient region of Gandhara) Medium: Stucco with traces of paint Classification: Sculpture Tags: Gandhara; Heads; Buddhism; Buddha,350.0,0.21584156,0.019785844,0.1099394,-0.062840946
38945,Hanuman Conversing,Figure,India (Tamil Nadu),Chola period,1000,1099,,,,,Copper alloy,Sculpture,"Purchase, Bequests of Mary Clarke Thompson, Fanny Shapiro, Susan Dwight Bliss, Isaac D. Fletcher, William Gedney Beatty, John L. Cadwalader and Kate Read Blacque, Gifts of Mrs. Samuel T. Peters, Ida H. Ogilvie, Samuel T. Peters and H. R. Bishop, F. C. Bishop and O. M. Bishop, Rogers, Seymour and Fletcher Funds, and other gifts, funds and bequests from various donors, by exchange, 1982",Deities,https://images.metmuseum.org/CRDImages/as/original/DT5250.jpg,https://images.metmuseum.org/CRDImages/as/web-large/DT5250.jpg,https://www.metmuseum.org/art/collection/search/38945,True,The Metropolitan Museum of Art Collection API,India,Asian Art,,,"Purchase, Bequests of Mary Clarke Thompson, Fanny Shapiro, Susan Dwight Bliss, Isaac D. Fletcher, William Gedney Beatty, John L. Cadwalader and Kate Read Blacque, Gifts of Mrs. Samuel T. Peters, Ida H. Ogilvie, Samuel T. Peters and H. R. Bishop, F. C. Bishop and O. M. Bishop, Rogers, Seymour and Fletcher Funds, and other gifts, funds and bequests from various donors, by exchange, 1982",insufficient or ambiguous contextual evidence,Other,Title: Hanuman Conversing Object type: Figure Culture: India (Tamil Nadu) Period: Chola period Medium: Copper alloy Classification: Sculpture Tags: Deities,1049.5,0.1581072,0.0879186,0.104449876,-0.07847538
38950,Bodhisattva Avalokiteshvara,Figure,"Plai Bat II Temple, Lahan Sai District, Buriram Province, Thailand",,750,775,,,,,Copper alloy inlaid with silver and glass or obsidian,Sculpture,"Rogers Fund, 1967",Buddhism; Avalokiteshvara; Bodhisattvas,https://images.metmuseum.org/CRDImages/as/original/LK_DP316445r3_25AA.jpg,https://images.metmuseum.org/CRDImages/as/web-large/LK_DP316445r3_25AA.jpg,https://www.metmuseum.org/art/collection/search/38950,True,The Metropolitan Museum of Art Collection API,Buddha; Buddhist; Bodhisattva; Avalokiteshvara,Asian Art,,,"Rogers Fund, 1967",insufficient or ambiguous contextual evidence,Other,"Title: Bodhisattva Avalokiteshvara Object type: Figure Culture: Plai Bat II Temple, Lahan Sai District, Buriram Province, Thailand Medium: Copper alloy inlaid with silver and glass or obsidian Classification: Sculpture Tags: Buddhism; Avalokiteshvara; Bodhisattvas",762.5,0.21978213,0.020459583,0.06851995,0.13070688
38970,"Seated Ascetic, Deified King, Agni (The God of Fire)",Figure,"India (Kaushambi, Uttar Pradesh)",,150,350,,,,,Bronze,Sculpture,"Gift of Frank Weinstein, 1984",Gupta,https://images.metmuseum.org/CRDImages/as/original/DP155519.jpg,https://images.metmuseum.org/CRDImages/as/web-large/DP155519.jpg,https://www.metmuseum.org/art/collection/search/38970,True,The Metropolitan Museum of Art Collection API,India,Asian Art,,,"Gift of Frank Weinstein, 1984",insufficient or ambiguous contextual evidence,Other,"Title: Seated Ascetic, Deified King, Agni (The God of Fire) Object type: Figure Culture: India (Kaushambi, Uttar Pradesh) Medium: Bronze Classification: Sculpture Tags: Gupta",250.0,0.25601563,0.1067463,0.0046223095,-0.06888431
39046,Seated Male Deity Supporting a Vajra on His Finger,Figurine,"Indonesia (Java, Ngandjuk)",Eastern Javanese period,976,1049,,,,,Bronze,Sculpture,"Samuel Eilenberg Collection, Gift of Samuel Eilenberg, 1987",Deities,https://images.metmuseum.org/CRDImages/as/original/264842.jpg,https://images.metmuseum.org/CRDImages/as/web-large/264842.jpg,https://www.metmuseum.org/art/collection/search/39046,True,The Metropolitan Museum of Art Collection API,Bodhisattva; Vajra; Mandala,Asian Art,,,"Samuel Eilenberg Collection, Gift of Samuel Eilenberg, 1987",insufficient or ambiguous contextual evidence,Other,"Title: Seated Male Deity Supporting a Vajra on His Finger Object type: Figurine Culture: Indonesia (Java, Ngandjuk) Period: Eastern Javanese period Medium: Bronze Classification: Sculpture Tags: Deities",1012.5,0.23728429,-0.054746956,0.14064911,0.01507958
39047,Seated Male Deity Holding a Cuirass (Chest Armour),Figurine,"Indonesia (Java, Ngandjuk)",Eastern Javanese period,976,1049,,,,,Bronze,Sculpture,"Samuel Eilenberg Collection, Gift of Samuel Eilenberg, 1987",Deities,https://images.metmuseum.org/CRDImages/as/original/262094.jpg,https://images.metmuseum.org/CRDImages/as/web-large/262094.jpg,https://www.metmuseum.org/art/collection/search/39047,True,The Metropolitan Museum of Art Collection API,Bodhisattva; Mandala,Asian Art,,,"Samuel Eilenberg Collection, Gift of Samuel Eilenberg, 1987",insufficient or ambiguous contextual evidence,Other,"Title: Seated Male Deity Holding a Cuirass (Chest Armour) Object type: Figurine Culture: Indonesia (Java, Ngandjuk) Period: Eastern Javanese period Medium: Bronze Classification: Sculpture Tags: Deities",1012.5,0.23848511,-0.08501864,0.11382717,0.027564012
39048,Seated Male Deity Holding Two Ritual Objects,Figurine,"Indonesia (Java, Ndangjuk)",Eastern Javanese period,976,1049,,,,,Bronze,Sculpture,"Samuel Eilenberg Collection, Gift of Samuel Eilenberg, 1987",Deities,https://images.metmuseum.org/CRDImages/as/original/262095.jpg,https://images.metmuseum.org/CRDImages/as/web-large/262095.jpg,https://www.metmuseum.org/art/collection/search/39048,True,The Metropolitan Museum of Art Collection API,Bodhisattva; Mandala; Ritual,Asian Art,,,"Samuel Eilenberg Collection, Gift of Samuel Eilenberg, 1987",insufficient or ambiguous contextual evidence,Other,"Title: Seated Male Deity Holding Two Ritual Objects Object type: Figurine Culture: Indonesia (Java, Ndangjuk) Period: Eastern Javanese period Medium: Bronze Classification: Sculpture Tags: Deities",1012.5,0.24147446,-0.056495443,0.19162372,0.0018640027
39054,Seated Female Deity Holding a Conch and Branch (?),Figurine,"Indonesia (Java, Ngandjuk)",Eastern Javanese period,976,1049,,,,,Bronze,Sculpture,"Samuel Eilenberg Collection, Gift of Samuel Eilenberg, 1987",Deities,https://images.metmuseum.org/CRDImages/as/original/262096.jpg,https://images.metmuseum.org/CRDImages/as/web-large/262096.jpg,https://www.metmuseum.org/art/collection/search/39054,True,The Metropolitan Museum of Art Collection API,Bodhisattva; Mandala,Asian Art,,,"Samuel Eilenberg Collection, Gift of Samuel Eilenberg, 1987",insufficient or ambiguous contextual evidence,Other,"Title: Seated Female Deity Holding a Conch and Branch (?) Object type: Figurine Culture: Indonesia (Java, Ngandjuk) Period: Eastern Javanese period Medium: Bronze Classification: Sculpture Tags: Deities",1012.5,0.25226676,-0.06740061,0.13532172,-0.0025445004
39092,Bodhisattva  Avaolkiteshvara,Figure,Western Cambodia,pre-Angkor period,650,733,,,,,Copper alloy,Sculpture,"Rogers Fund, 1987",Buddhism; Avalokiteshvara; Bodhisattvas,https://images.metmuseum.org/CRDImages/as/original/LK.1987.145_DP301229r1_25AA.jpg,https://images.metmuseum.org/CRDImages/as/web-large/LK.1987.145_DP301229r1_25AA.jpg,https://www.metmuseum.org/art/collection/search/39092,True,The Metropolitan Museum of Art Collection API,Bodhisattva; Avalokiteshvara,Asian Art,,,"Rogers Fund, 1987",insufficient or ambiguous contextual evidence,Other,Title: Bodhisattva  Avaolkiteshvara Object type: Figure Culture: Western Cambodia Period: pre-Angkor period Medium: Copper alloy Classification: Sculpture Tags: Buddhism; Avalokiteshvara; Bodhisattvas,691.5,0.2948775,0.0035159888,0.083137885,0.16794084
