object_id_1,object_id_2,multimodal_similarity
39047,53176,0.742403507232666
39047,193451,0.6583240032196045
39047,266450,0.6232900023460388
39047,325818,0.6072037220001221
39048,39054,0.9338511824607849
39048,57573,0.7752798795700073
39048,53165,0.734819233417511
39048,53167,0.6726178526878357
39048,193451,0.6417558193206787
39054,57573,0.76528400182724
39054,53165,0.7339191436767578
39054,193451,0.6651265621185303
39092,61658,0.7562304735183716
39092,45449,0.7473885416984558
39092,329077,0.7415291666984558
39134,45449,0.761845588684082
39134,61658,0.7468865513801575
39134,328593,0.6905243396759033
39134,454738,0.6252392530441284
39482,752005,0.8098906874656677
39482,53205,0.7999680638313293
39482,40282,0.7905394434928894
39482,53189,0.7777621746063232
39482,53187,0.774617612361908
39569,39895,0.7836344242095947
39569,40513,0.7468007802963257
39569,39959,0.7461959719657898
39569,39901,0.7273256182670593
39569,53194,0.7244805097579956
39569,53427,0.7163795828819275
39569,53892,0.7188306450843811
39742,53205,0.8547713160514832
39742,53438,0.713135838508606
39742,68310,0.6537851691246033
39742,78257,0.6453844904899597
39742,78260,0.6721238493919373
39742,228990,0.6240431070327759
39742,228995,0.6303972005844116
39742,316415,0.6620593070983887
39895,40513,0.80565345287323
39895,39901,0.7906913757324219
39895,53660,0.7682163119316101
39895,44759,0.7614325284957886
39895,39959,0.7564100027084351
39901,53238,0.7531424164772034
39901,53660,0.743492841720581
39901,39959,0.7385815382003784
39901,44759,0.7309123277664185
39901,40513,0.7191240787506104
39931,44759,0.8594639897346497
39931,39959,0.7429777979850769
39931,53455,0.7332779765129089
39931,53238,0.7320655584335327
39959,40513,0.7675355076789856
39959,53226,0.7635309100151062
40080,49068,0.83853679895401
40080,53408,0.7865962982177734
40080,53238,0.7728928327560425
40080,53226,0.7644289135932922
40282,752005,0.8247005939483643
40282,53205,0.7769502997398376
40282,53438,0.7189667820930481
40282,57363,0.7321887612342834
40513,53238,0.7351025342941284
41865,61532,0.688762366771698
41865,61820,0.6613724827766418
41865,53205,0.6551130414009094
42188,61820,0.7590098977088928
42188,42733,0.7309175133705139
42188,205883,0.7297663688659668
42188,53162,0.710139811038971
42188,61658,0.7047516107559204
42188,207536,0.6728494167327881
42733,61820,0.8667847514152527
42733,61658,0.822020411491394
42733,45449,0.8146321177482605
42733,76084,0.8025839328765869
42733,53162,0.7331925630569458
42733,53165,0.7432883977890015
42733,53167,0.6760096549987793
42733,53176,0.7377361059188843
42733,61532,0.7730424404144287
42733,197461,0.6634724140167236
42733,205883,0.7938549518585205
42733,503651,0.6111018061637878
44759,53455,0.7349973917007446
45258,53241,0.7870708107948303
45258,49068,0.7801844477653503
45258,53429,0.762628972530365
45258,53013,0.7590281367301941
45258,53242,0.7535390853881836
45258,53428,0.6916448473930359
45449,61820,0.7828354835510254
45449,61658,0.7746679782867432
49068,53455,0.8230682611465454
49068,53238,0.8162216544151306
49068,60470,0.7789812684059143
49068,53226,0.7756655216217041
49068,53237,0.7747736573219299
49068,53408,0.7530253529548645
53013,53429,0.8597280979156494
53013,53242,0.8469706773757935
53013,53241,0.8203434348106384
53013,53428,0.8104156851768494
53013,53892,0.7181220054626465
53013,73540,0.6434696316719055
53158,61820,0.7685561776161194
53158,61532,0.7641916871070862
53162,53165,0.783419668674469
53162,61658,0.7664636373519897
53162,61820,0.7471408843994141
53162,76084,0.7443366050720215
53162,53190,0.7130047082901001
53165,76084,0.7894881963729858
53165,53176,0.7640649080276489
53165,61820,0.7454618811607361
53165,53190,0.7121603488922119
53165,53625,0.6930071115493774
53167,76084,0.6850734949111938
53167,53176,0.6819258332252502
53167,61532,0.6774894595146179
53167,53650,0.5510517358779907
53176,76084,0.7909979820251465
53176,61658,0.7552165985107422
53176,53190,0.6619035005569458
53180,53189,0.816443920135498
53180,752005,0.800997257232666
53180,57249,0.7759835720062256
53180,78145,0.7683753967285156
53180,53187,0.7650891542434692
53187,53205,0.8038415908813477
53187,752005,0.7823710441589355
53187,53189,0.7786492109298706
53187,78145,0.7418272495269775
53187,320962,0.6261333227157593
53189,752005,0.8204849362373352
53189,53205,0.8078339695930481
53189,57249,0.8052076101303101
53189,53238,0.7963579893112183
53189,53408,0.7659621834754944
53189,68308,0.6487840414047241
53189,68310,0.6670613884925842
53189,320962,0.6564284563064575
53190,76084,0.65755295753479
53190,53625,0.6567180156707764
53194,60451,0.8517138361930847
53194,60470,0.8080329895019531
53194,53455,0.8060936331748962
53194,53226,0.8014816641807556
53194,60437,0.8009316921234131
53194,53237,0.7694519758224487
53194,53427,0.726655125617981
53194,53660,0.7687780857086182
53194,53892,0.7119696140289307
53194,68308,0.6159067153930664
53194,73540,0.6359737515449524
53205,752005,0.821803867816925
53205,53438,0.7387887835502625
53205,57363,0.7462424039840698
53205,68308,0.6191986203193665
53205,68310,0.6462802886962891
53205,78257,0.6422919034957886
53205,320962,0.6819756031036377
53205,452102,0.5172572731971741
53226,53238,0.7876070737838745
53226,53237,0.772914707660675
53226,53427,0.6982789039611816
53237,53455,0.8070292472839355
53237,53408,0.7686358690261841
53238,57249,0.8086345195770264
53238,78145,0.786431074142456
53241,53242,0.831192672252655
53241,53429,0.8073065280914307
53241,53428,0.7667142748832703
53242,53429,0.7989095449447632
53242,53428,0.7533829212188721
53242,53892,0.7233461737632751
53427,53660,0.7203559875488281
53427,53455,0.6952201128005981
53427,73540,0.6332137584686279
53428,53429,0.7698194980621338
53438,57363,0.8988139629364014
53438,752005,0.7479116320610046
53455,60451,0.8380088210105896
53455,60470,0.8344202637672424
53455,60437,0.830514669418335
53455,53660,0.7605385184288025
53455,53892,0.7045342326164246
53455,60435,0.7958762049674988
53455,73540,0.6610380411148071
53455,752008,0.764421820640564
53625,313658,0.7218062877655029
53625,313251,0.7131296396255493
53625,312558,0.7113203406333923
53625,317753,0.6868884563446045
53625,317803,0.6734721660614014
53625,503651,0.5959277749061584
53650,310552,0.5772913098335266
53650,313511,0.5763207674026489
53650,503651,0.554046630859375
53650,313398,0.5462474226951599
53660,60470,0.7712963819503784
53660,60451,0.7700803875923157
53660,73540,0.6604080200195312
57249,78145,0.7996997237205505
57249,752005,0.7638598084449768
57363,752005,0.7310220003128052
57573,61820,0.761425793170929
57573,193451,0.6631577610969543
60435,60470,0.9096710681915283
60435,60437,0.8918836116790771
60435,60451,0.8835005760192871
60435,752008,0.8096191883087158
60437,60451,0.8562442064285278
60437,60470,0.8373910784721375
60437,752008,0.7916461229324341
60451,60470,0.9217972755432129
60451,752008,0.7729449272155762
60470,752008,0.7944923639297485
61532,61820,0.7652140855789185
61658,76084,0.8138962984085083
61658,205883,0.8004147410392761
61658,61820,0.7879191040992737
61658,312336,0.7014203071594238
61658,503651,0.6112488508224487
61820,205883,0.7804064750671387
61820,207536,0.676780104637146
61820,503651,0.5891805291175842
68308,68310,0.8652223944664001
68308,316415,0.6121416687965393
68310,316415,0.6407798528671265
76084,205883,0.7885313630104065
78257,78260,0.6796321868896484
78260,447752,0.6763799786567688
78260,453212,0.6644780039787292
192770,207536,0.6676142811775208
192770,197460,0.6442320346832275
192770,436513,0.61625075340271
192770,197461,0.5965654253959656
193451,207536,0.637604296207428
194191,453312,0.6113462448120117
194191,316437,0.608933687210083
194191,312694,0.6031380891799927
194191,454738,0.5990967154502869
194191,206965,0.5865297317504883
197460,197461,0.8922219276428223
197460,207536,0.7016353011131287
197460,204587,0.6944382190704346
197460,200668,0.6669889092445374
197460,203915,0.6626361608505249
197460,236643,0.6321485042572021
197461,204587,0.6876254081726074
197461,207536,0.6673344373703003
197461,328593,0.6637207269668579
197461,206965,0.43667206168174744
197461,236643,0.6283999085426331
200668,312558,0.6589192748069763
200668,201718,0.6376194953918457
200668,207536,0.6366816163063049
200668,313251,0.6346863508224487
200840,207157,0.7358735799789429
200840,237451,0.7358735799789429
200840,201718,0.6612375974655151
200840,452032,0.6071816086769104
200840,236643,0.5990129709243774
201718,207157,0.7237122058868408
201718,237451,0.7237122058868408
201718,203915,0.6527311205863953
201718,309943,0.6457895040512085
203915,207536,0.7322519421577454
203915,312558,0.7250761985778809
203915,317753,0.7177224159240723
203915,204587,0.7025086879730225
203915,309943,0.7000061869621277
203915,266450,0.6464996933937073
204587,329077,0.69459468126297
204587,206965,0.4382251799106598
204587,236643,0.623180091381073
205883,207157,0.6244215965270996
205883,237451,0.6244215965270996
205883,454353,0.6288474798202515
206965,239512,0.4804592728614807
206965,452364,0.46238258481025696
207157,237451,0.999999463558197
207157,207536,0.6149002313613892
207536,236643,0.635871410369873
207536,237451,0.6149002313613892
207536,266450,0.6283732652664185
228990,438821,0.6703841686248779
228990,436513,0.6313787698745728
228990,228995,0.6151410341262817
228990,437202,0.6151084303855896
228990,383883,0.5814590454101562
228990,437654,0.5945459604263306
228995,446563,0.6340413689613342
228995,436513,0.6156523823738098
228995,239512,0.5892499685287476
236643,308565,0.6225948333740234
239512,452211,0.6564520001411438
239512,452032,0.5947647094726562
239512,454738,0.5920637249946594
239512,316691,0.5872427225112915
266450,268710,0.5787112712860107
266450,282044,0.6147488951683044
268710,282044,0.740889847278595
268710,269434,0.6393016576766968
268710,435844,0.5903396010398865
268710,436658,0.5695920586585999
269434,282044,0.6521724462509155
269434,437508,0.5236908197402954
269434,437873,0.5100424885749817
269434,436658,0.500869870185852
282044,436896,0.6149216294288635
282044,437769,0.6073277592658997
307598,307599,0.9762169718742371
307598,310540,0.7282655239105225
307598,317760,0.721743106842041
307598,320347,0.71169114112854
307598,313262,0.6913268566131592
307599,317760,0.7408365607261658
307599,310540,0.7219482660293579
307599,320347,0.7128443121910095
307599,313262,0.6907739639282227
307634,310498,0.8275764584541321
307634,313262,0.8233671188354492
307634,310480,0.802450954914093
307634,310540,0.7956047058105469
307634,310472,0.7880568504333496
307634,310599,0.7026239633560181
307634,320347,0.7533474564552307
308022,308024,0.9284242391586304
308022,320054,0.7196139097213745
308022,316963,0.7177563309669495
308022,314528,0.6638659238815308
308022,320804,0.6463359594345093
308022,313676,0.6395831108093262
308024,320054,0.7697485089302063
308024,316963,0.70826655626297
308024,320804,0.7069236636161804
308024,314528,0.7014104127883911
308024,313676,0.6674140691757202
308565,309519,0.7696543335914612
308565,313256,0.7172352075576782
308565,310552,0.7057899236679077
308565,309389,0.7002813220024109
308565,310542,0.6990786790847778
308565,322973,0.654895544052124
309227,315668,0.8925668001174927
309227,316427,0.6726526618003845
309227,317877,0.6665712594985962
309227,678610,0.6568706631660461
309227,313676,0.6169049143791199
309227,452364,0.6343955397605896
309389,309519,0.7389767169952393
309389,313289,0.7165143489837646
309389,316813,0.710742712020874
309389,316846,0.7098003029823303
309389,503651,0.6031109094619751
309411,313398,0.8047106862068176
309411,309540,0.7318305969238281
309411,316691,0.7208404541015625
309411,316437,0.6834592819213867
309411,310540,0.6785055994987488
309411,316436,0.6390126943588257
309519,310552,0.7570512294769287
309519,320347,0.7332156896591187
309519,313511,0.7287855744361877
309519,310681,0.6958951354026794
309519,317802,0.6666386723518372
